PST,Abs_Pressure_kPA,Temp_degC,Depth_m
2020-03-08T15:10:00Z,101.594,20.996,-1.423
2020-03-08T15:10:10Z,101.596,21.091,-1.423
2020-03-08T15:10:20Z,101.583,21.187,-1.424
2020-03-08T15:10:30Z,101.569,21.282,-1.426
2020-03-08T15:10:40Z,101.555,21.378,-1.427
2020-03-08T15:10:50Z,101.555,21.378,-1.427
2020-03-08T15:11:00Z,101.571,21.378,-1.426
2020-03-08T15:11:10Z,101.557,21.473,-1.427
2020-03-08T15:11:20Z,101.573,21.473,-1.425
2020-03-08T15:11:30Z,101.557,21.473,-1.427
2020-03-08T15:11:40Z,101.557,21.473,-1.427
2020-03-08T15:11:50Z,101.56,21.569,-1.427
2020-03-08T15:12:00Z,101.56,21.569,-1.427
2020-03-08T15:12:10Z,101.544,21.569,-1.428
2020-03-08T15:12:20Z,101.544,21.569,-1.428
2020-03-08T15:12:30Z,101.56,21.569,-1.427
2020-03-08T15:12:40Z,101.544,21.569,-1.428
2020-03-08T15:12:50Z,101.56,21.569,-1.427
2020-03-08T15:13:00Z,101.56,21.569,-1.427
2020-03-08T15:13:10Z,101.544,21.569,-1.428
2020-03-08T15:13:20Z,101.544,21.569,-1.428
2020-03-08T15:13:30Z,101.56,21.569,-1.427
2020-03-08T15:13:40Z,101.56,21.569,-1.427
2020-03-08T15:13:50Z,101.544,21.569,-1.428
2020-03-08T15:14:00Z,101.56,21.569,-1.427
2020-03-08T15:14:10Z,101.557,21.473,-1.427
2020-03-08T15:14:20Z,101.557,21.473,-1.427
2020-03-08T15:14:30Z,101.557,21.473,-1.427
2020-03-08T15:14:40Z,101.541,21.473,-1.428
2020-03-08T15:14:50Z,101.541,21.473,-1.428
2020-03-08T15:15:00Z,101.541,21.473,-1.428
2020-03-08T15:15:10Z,101.541,21.473,-1.428
2020-03-08T15:15:20Z,101.557,21.473,-1.427
2020-03-08T15:15:30Z,101.557,21.473,-1.427
2020-03-08T15:15:40Z,101.557,21.473,-1.427
2020-03-08T15:15:50Z,101.557,21.473,-1.427
2020-03-08T15:16:00Z,101.541,21.473,-1.428
2020-03-08T15:16:10Z,101.541,21.473,-1.428
2020-03-08T15:16:20Z,101.541,21.473,-1.428
2020-03-08T15:16:30Z,101.525,21.473,-1.43
2020-03-08T15:16:40Z,101.477,21.473,-1.435
2020-03-08T15:16:50Z,101.475,21.378,-1.435
2020-03-08T15:17:00Z,101.458,21.378,-1.437
2020-03-08T15:17:10Z,101.426,21.378,-1.44
2020-03-08T15:17:20Z,101.36,21.282,-1.447
2020-03-08T15:17:30Z,101.36,21.282,-1.447
2020-03-08T15:17:40Z,101.39,21.187,-1.444
2020-03-08T15:17:50Z,101.387,21.091,-1.444
2020-03-08T15:18:00Z,101.369,20.996,-1.446
2020-03-08T15:18:10Z,101.399,20.901,-1.443
2020-03-08T15:18:20Z,101.38,20.805,-1.445
2020-03-08T15:18:30Z,101.41,20.71,-1.442
2020-03-08T15:18:40Z,101.424,20.615,-1.44
2020-03-08T15:18:50Z,101.454,20.519,-1.437
2020-03-08T15:19:00Z,101.486,20.519,-1.434
2020-03-08T15:19:10Z,101.484,20.424,-1.434
2020-03-08T15:19:20Z,101.481,20.329,-1.434
2020-03-08T15:19:30Z,101.513,20.329,-1.431
2020-03-08T15:19:40Z,101.495,20.234,-1.433
2020-03-08T15:19:50Z,101.479,20.234,-1.435
2020-03-08T15:20:00Z,101.511,20.234,-1.431
2020-03-08T15:20:10Z,115.9,20.043,0
2020-03-08T15:20:20Z,143.881,19.662,2.784
2020-03-08T15:20:30Z,156.487,19.377,4.038
2020-03-08T15:20:40Z,156.979,19.092,4.087
2020-03-08T15:20:50Z,157.573,18.806,4.146
2020-03-08T15:21:00Z,157.716,18.616,4.16
2020-03-08T15:21:10Z,157.81,18.426,4.169
2020-03-08T15:21:20Z,157.82,18.236,4.17
2020-03-08T15:21:30Z,157.846,18.045,4.173
2020-03-08T15:21:40Z,156.347,17.855,4.024
2020-03-08T15:21:50Z,149.707,17.76,3.363
2020-03-08T15:22:00Z,149.653,17.665,3.358
2020-03-08T15:22:10Z,149.667,17.57,3.359
2020-03-08T15:22:20Z,149.663,17.475,3.359
2020-03-08T15:22:30Z,147.76,17.379,3.17
2020-03-08T15:22:40Z,140.782,17.284,2.475
2020-03-08T15:22:50Z,140.729,17.189,2.47
2020-03-08T15:23:00Z,140.729,17.189,2.47
2020-03-08T15:23:10Z,131.861,17.094,1.588
2020-03-08T15:23:20Z,131.845,17.094,1.586
2020-03-08T15:23:30Z,131.973,16.999,1.599
2020-03-08T15:23:40Z,131.76,16.999,1.578
2020-03-08T15:23:50Z,123.066,16.903,0.713
2020-03-08T15:24:00Z,123.083,16.903,0.715
2020-03-08T15:24:10Z,123.066,16.903,0.713
2020-03-08T15:24:20Z,113.976,16.808,-0.191
2020-03-08T15:24:30Z,114.009,16.808,-0.188
2020-03-08T15:24:40Z,114.041,16.808,-0.185
2020-03-08T15:24:50Z,104.808,16.808,-1.103
2020-03-08T15:25:00Z,104.677,16.713,-1.117
2020-03-08T15:25:10Z,104.774,16.713,-1.107
2020-03-08T15:25:20Z,104.79,16.713,-1.105
2020-03-08T15:25:30Z,101.604,16.713,-1.422
2020-03-08T15:25:40Z,101.62,16.713,-1.421
2020-03-08T15:25:50Z,101.62,16.713,-1.421
2020-03-08T15:26:00Z,101.555,16.713,-1.427
2020-03-08T15:26:10Z,101.539,16.713,-1.429
2020-03-08T15:26:20Z,101.523,16.713,-1.43
2020-03-08T15:26:30Z,101.507,16.713,-1.432
2020-03-08T15:26:40Z,101.523,16.713,-1.43
2020-03-08T15:26:50Z,101.526,16.808,-1.43
2020-03-08T15:27:00Z,101.542,16.808,-1.428
2020-03-08T15:27:10Z,101.526,16.808,-1.43
2020-03-08T15:27:20Z,101.526,16.808,-1.43
2020-03-08T15:27:30Z,101.528,16.903,-1.43
2020-03-08T15:27:40Z,101.528,16.903,-1.43
2020-03-08T15:27:50Z,101.528,16.903,-1.43
2020-03-08T15:28:00Z,101.528,16.903,-1.43
2020-03-08T15:28:10Z,101.53,16.999,-1.43
2020-03-08T15:28:20Z,101.53,16.999,-1.43
2020-03-08T15:28:30Z,101.514,16.999,-1.431
2020-03-08T15:28:40Z,101.514,16.999,-1.431
2020-03-08T15:28:50Z,101.514,16.999,-1.431
2020-03-08T15:29:00Z,101.514,16.999,-1.431
2020-03-08T15:29:10Z,101.498,16.999,-1.433
2020-03-08T15:29:20Z,101.514,16.999,-1.431
2020-03-08T15:29:30Z,101.498,16.999,-1.433
2020-03-08T15:29:40Z,101.498,16.999,-1.433
2020-03-08T15:29:50Z,101.514,16.999,-1.431
2020-03-08T15:30:00Z,101.482,16.999,-1.434
2020-03-08T15:30:10Z,101.514,16.999,-1.431
2020-03-08T15:30:20Z,101.514,16.999,-1.431
2020-03-08T15:30:30Z,101.498,16.999,-1.433
2020-03-08T15:30:40Z,101.498,16.999,-1.433
2020-03-08T15:30:50Z,101.482,16.999,-1.434
2020-03-08T15:31:00Z,101.498,16.999,-1.433
2020-03-08T15:31:10Z,101.498,16.999,-1.433
2020-03-08T15:31:20Z,101.514,16.999,-1.431
2020-03-08T15:31:30Z,101.516,17.094,-1.431
2020-03-08T15:31:40Z,101.516,17.094,-1.431
2020-03-08T15:31:50Z,101.548,17.094,-1.428
2020-03-08T15:32:00Z,101.535,17.189,-1.429
2020-03-08T15:32:10Z,101.535,17.189,-1.429
2020-03-08T15:32:20Z,101.537,17.284,-1.429
2020-03-08T15:32:30Z,101.537,17.284,-1.429
2020-03-08T15:32:40Z,101.523,17.379,-1.43
2020-03-08T15:32:50Z,101.525,17.475,-1.43
2020-03-08T15:33:00Z,101.544,17.57,-1.428
2020-03-08T15:33:10Z,101.514,17.665,-1.431
2020-03-08T15:33:20Z,101.516,17.76,-1.431
2020-03-08T15:33:30Z,101.516,17.76,-1.431
2020-03-08T15:33:40Z,101.518,17.855,-1.431
2020-03-08T15:33:50Z,101.505,17.95,-1.432
2020-03-08T15:34:00Z,101.523,18.045,-1.43
2020-03-08T15:34:10Z,101.525,18.14,-1.43
2020-03-08T15:34:20Z,101.527,18.236,-1.43
2020-03-08T15:34:30Z,101.514,18.331,-1.431
2020-03-08T15:34:40Z,101.516,18.426,-1.431
2020-03-08T15:34:50Z,101.502,18.521,-1.432
2020-03-08T15:35:00Z,101.488,18.616,-1.434
2020-03-08T15:35:10Z,101.475,18.711,-1.435
2020-03-08T15:35:20Z,101.426,18.711,-1.44
2020-03-08T15:35:30Z,101.41,18.711,-1.442
2020-03-08T15:35:40Z,101.38,18.806,-1.445
2020-03-08T15:35:50Z,101.348,18.806,-1.448
2020-03-08T15:36:00Z,101.38,18.806,-1.445
2020-03-08T15:36:10Z,101.413,18.806,-1.441
2020-03-08T15:36:20Z,101.431,18.901,-1.439
2020-03-08T15:36:30Z,101.433,18.996,-1.439
2020-03-08T15:36:40Z,101.417,18.996,-1.441
2020-03-08T15:36:50Z,101.419,19.092,-1.441
2020-03-08T15:37:00Z,101.422,19.187,-1.44
2020-03-08T15:37:10Z,101.406,19.187,-1.442
2020-03-08T15:37:20Z,101.424,19.282,-1.44
2020-03-08T15:37:30Z,101.44,19.282,-1.439
2020-03-08T15:37:40Z,101.456,19.282,-1.437
2020-03-08T15:37:50Z,101.504,19.282,-1.432
2020-03-08T15:38:00Z,101.424,19.282,-1.44
2020-03-08T15:38:10Z,101.323,19.092,-1.45
2020-03-08T15:38:20Z,101.385,18.996,-1.444
2020-03-08T15:38:30Z,101.431,18.901,-1.439
2020-03-08T15:38:40Z,101.447,18.901,-1.438
2020-03-08T15:38:50Z,101.447,18.901,-1.438
2020-03-08T15:39:00Z,101.431,18.901,-1.439
2020-03-08T15:39:10Z,101.417,18.996,-1.441
2020-03-08T15:39:20Z,101.371,19.092,-1.445
2020-03-08T15:39:30Z,101.373,19.187,-1.445
2020-03-08T15:39:40Z,101.36,19.282,-1.447
2020-03-08T15:39:50Z,101.378,19.377,-1.445
2020-03-08T15:40:00Z,101.348,19.472,-1.448
2020-03-08T15:40:10Z,101.332,19.472,-1.449
2020-03-08T15:40:20Z,101.35,19.567,-1.447
2020-03-08T15:40:30Z,101.334,19.567,-1.449
2020-03-08T15:40:40Z,101.35,19.567,-1.447
2020-03-08T15:40:50Z,101.35,19.567,-1.447
2020-03-08T15:41:00Z,101.35,19.567,-1.447
2020-03-08T15:41:10Z,101.334,19.567,-1.449
2020-03-08T15:41:20Z,101.334,19.567,-1.449
2020-03-08T15:41:30Z,101.332,19.472,-1.449
2020-03-08T15:41:40Z,101.332,19.472,-1.449
2020-03-08T15:41:50Z,101.348,19.472,-1.448
2020-03-08T15:42:00Z,101.348,19.472,-1.448
2020-03-08T15:42:10Z,101.364,19.472,-1.446
2020-03-08T15:42:20Z,101.348,19.472,-1.448
2020-03-08T15:42:30Z,101.332,19.472,-1.449
2020-03-08T15:42:40Z,101.35,19.567,-1.447
2020-03-08T15:42:50Z,101.35,19.567,-1.447
2020-03-08T15:43:00Z,101.337,19.662,-1.449
2020-03-08T15:43:10Z,101.337,19.662,-1.449
2020-03-08T15:43:20Z,101.321,19.662,-1.45
2020-03-08T15:43:30Z,101.321,19.662,-1.45
2020-03-08T15:43:40Z,101.339,19.758,-1.449
2020-03-08T15:43:50Z,101.339,19.758,-1.449
2020-03-08T15:44:00Z,101.323,19.758,-1.45
2020-03-08T15:44:10Z,101.339,19.758,-1.449
2020-03-08T15:44:20Z,101.325,19.853,-1.45
2020-03-08T15:44:30Z,101.325,19.853,-1.45
2020-03-08T15:44:40Z,101.325,19.853,-1.45
2020-03-08T15:44:50Z,101.341,19.853,-1.448
2020-03-08T15:45:00Z,101.325,19.853,-1.45
2020-03-08T15:45:10Z,101.327,19.948,-1.45
2020-03-08T15:45:20Z,101.327,19.948,-1.45
2020-03-08T15:45:30Z,101.311,19.948,-1.451
2020-03-08T15:45:40Z,101.327,19.948,-1.45
2020-03-08T15:45:50Z,101.311,19.948,-1.451
2020-03-08T15:46:00Z,101.311,19.948,-1.451
2020-03-08T15:46:10Z,101.33,20.043,-1.449
2020-03-08T15:46:20Z,101.33,20.043,-1.449
2020-03-08T15:46:30Z,101.33,20.043,-1.449
2020-03-08T15:46:40Z,101.33,20.043,-1.449
2020-03-08T15:46:50Z,101.346,20.043,-1.448
2020-03-08T15:47:00Z,101.33,20.043,-1.449
2020-03-08T15:47:10Z,101.332,20.138,-1.449
2020-03-08T15:47:20Z,101.332,20.138,-1.449
2020-03-08T15:47:30Z,101.316,20.138,-1.451
2020-03-08T15:47:40Z,101.332,20.138,-1.449
2020-03-08T15:47:50Z,101.332,20.138,-1.449
2020-03-08T15:48:00Z,101.332,20.138,-1.449
2020-03-08T15:48:10Z,101.332,20.138,-1.449
2020-03-08T15:48:20Z,101.334,20.234,-1.449
2020-03-08T15:48:30Z,101.334,20.234,-1.449
2020-03-08T15:48:40Z,101.35,20.234,-1.447
2020-03-08T15:48:50Z,101.334,20.234,-1.449
2020-03-08T15:49:00Z,101.334,20.234,-1.449
2020-03-08T15:49:10Z,101.334,20.234,-1.449
2020-03-08T15:49:20Z,101.334,20.234,-1.449
2020-03-08T15:49:30Z,101.35,20.234,-1.447
2020-03-08T15:49:40Z,101.35,20.234,-1.447
2020-03-08T15:49:50Z,101.353,20.329,-1.447
2020-03-08T15:50:00Z,101.337,20.329,-1.449
